id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r05-041,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産とその価格,1,"不動産とその価格の特徴に関する次のイからホまでの記述のうち、正しいものをすべ\nて掲げた組合せはどれか。\nイ　不動産のあり方は、自然的、社会的、経済的及び行政的な要因の相互作用によって決定さ\nれ、不動産の価格はこれら要因の影響の下にあると同時に選択指標としてこれらの要因に影\n響を与えるという二面性を持つ。\nロ　土地は一般の諸財と異なり、自然的特性や人文的特性を持っており、この土地の持つ特性\nを理解しなければならないのは、個々の不動産のあり方が、その基本的要素である個々の土\n地の影響を大きく受けるからである。\nハ　不動産は、その自然的条件及び人文的条件の全部又は一部を共通にすることによって、他\nの不動産とともにある地域を構成し、その地域の構成分子としてその地域との間に協働、代\n替等の関係にたち、その社会的及び経済的な有用性を発揮する。\nニ　不動産が属する地域には、その規模、構成の内容、機能等に従って各種のものが認められ\nるが、そのいずれもが、特定の自然的条件及び人文的条件との関係を前提とする利用のあり\n方の多様性を基準として理解されるものである。\nホ　不動産の現実の取引価格等は、その不動産に係る不動産市場の特性、取引等における当事\n者双方の能力の多様性と特別の動機により、売り急ぎ、買い進み等の個別的な事情が存在す\nることが多いため、このような場合には必ず事情補正を行う。","イとロ","イとハ","ロとホ","ハとニ","ニとホ",1,,,,,,2,2025-11-08T00:00:00Z
r05-042,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産鑑定士の責務,2,"不動産鑑定士の責務に関する次の記述のうち、誤っているものはどれか。","不動産鑑定士は、その職務上取り扱ったことについて知り得た秘密を他に漏らしてはならな\nいとともに、依頼者の利益を遵守するよう努めなければならない。","不動産鑑定士には、高度な知識と豊富な経験と的確な判断力が要求されるとともに、依頼者\nに対し、鑑定評価の結果を分かり易く誠実に説明することが求められる。","不動産鑑定士には、高度な知識を体得するために常に勉強と研鑽が求められるが、高度な知\n識には、国際的な金融・資本市場に関する知識も含まれる。","不動産鑑定士は、日頃から鑑定評価の進歩改善に努力することが必要であるが、これは経験\n豊富な不動産鑑定士であっても、鑑定の経験が浅い不動産鑑定士であっても同様である。","不動産鑑定士は、社会一般の信頼と期待に報いなければならないため、良心に従い、誠実に不\n動産の鑑定評価を行い、専門職業家としての社会的信用を傷つけるような行為をしてはならない。",1,,,,,,2,2025-11-08T00:00:00Z
r05-043,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の種類,3,"不動産の種類に関する次のイからホまでの記述のうち、誤っているものをすべて掲げ\nた組合せはどれか。\nイ　建付地は宅地の類型であるため、宅地に転換しつつある地域のうちにある土地の類型が建\n付地となることはない。\nロ　港湾、高速交通網等の利便性を指向する大工場地について、例えば「産業基盤指向型工業\n地」のように土地の種別を細分化することも可能である。\nハ　不動産の属する地域は固定的なものではないので、林地から農地へ転換しつつある地域や、\n農地地域のうちにあって細分されたある種別の地域から、農地地域のうちにあって他の細分\nされた地域へと移行しつつある地域が存在する。\nニ　不動産は通常、土地とその定着物をいい、駐車場の設備やガスタンクも当然に含まれるこ\nとから、対象不動産を自用の建物及びその敷地と判断した場合は、これらの設備の所有権も\n必ず含んだ評価となる。\nホ　林地地域とは、林業生産活動のうち木竹を除く特用林産物の生育の用に供されることが、\n自然的、社会的、経済的及び行政的観点からみて合理的と判断される地域をいう。","イとロ","ロとニ","ハとホ","イとニとホ","ロとハとホ",4,,,,,,3,2025-11-08T00:00:00Z
r05-044,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の種別及び類型,4,"不動産の種別及び類型に関する次の記述のうち、正しいものはどれか。","地域の種別は、宅地地域、農地地域、林地地域等に分けられ、それぞれの地域の種別に応\nじた適切な鑑定評価の方式を選択する必要がある。","土地がＡ社所有、建物がＢ社所有で、土地建物ともＣ社に賃貸されている不動産について、\n依頼目的及び条件設定の妥当性を考慮の上、所有者が同一人であり各賃貸借契約がないもの\nとする対象確定条件下で自用の建物及びその敷地としての評価を行うこととした場合、対象\n建物の実際支払賃料をもとに収益還元法における純収益を査定する必要がある。","林地を林地以外のものとするための取引に当たって鑑定評価を求められた場合、依頼目的\nから宅地へと転換しつつある地域と判断されることから、宅地の地域要因をより重視すべき\nである。","不動産鑑定評価基準では、基本的に種別及び類型に応じた鑑定評価の手法等を活用する必\n要があるとされており、対象不動産の種別及び類型に応じた不動産鑑定評価基準各論各章の\n規定並びに価格形成要因の分析により把握した市場の特性等と適用した手法との関係を鑑定\n評価報告書へ記載する必要がある。","対象不動産が農地である場合、通常は土壌汚染の有無及びその状態が価格形成に重大な影\n響を及ぼすことから、土壌汚染が存しないものとする想定上の条件が設定できない場合には\n依頼者に土壌汚染に係る詳細なレポートの提供を求め、当該資料の提供がなかった場合は依\n頼を謝絶しなければならない。",4,,,,,,4,2025-11-08T00:00:00Z
r05-045,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,価格形成要因,5,"次の記述は、不動産の価格を形成する要因として、不動産鑑定評価基準総論第 ３ 章に記載\nされた事項の一部である。次のイからニまでの空欄に入る語句として正しいものの組合せはどれか。\n　・「生活様式等の状態」は、一般的要因のうち（ イ ）として例示されている。\n　・「不動産の取引に関する規制の状態」は、一般的要因のうち（ ロ ）として例示されている。\n　・農地地域、林地地域に共通する地域要因として、日照、温度、湿度、（ ハ ）等の気象の状\n態が例示されている。\n　・商業地域、工業地域、農地地域、林地地域に共通する地域要因として、（ ニ ）が例示されている。","イ 社会的要因　ロ 経済的要因　ハ 風向　ニ 公法上及び私法上の規制、制約等","イ 経済的要因　ロ 行政的要因　ハ 風向　ニ 公法上及び私法上の規制、制約等","イ 社会的要因　ロ 経済的要因　ハ 風雨　ニ 公法上及び私法上の規制、制約等","イ 経済的要因　ロ 社会的要因　ハ 風向　ニ 行政上の助成及び規制の程度","イ 社会的要因　ロ 行政的要因　ハ 風雨　ニ 行政上の助成及び規制の程度",5,,,,,,5,2025-11-08T00:00:00Z
r05-046,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,個別的要因,6,"個別的要因に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合\nせはどれか。\nイ　個別的要因は、不動産に個別性を生じさせ、その価格を個別的に形成する要因をいい、土\n地、建物等の区分に応じて分類される。\nロ　宅地に共通する個別的要因として接面街路の幅員が挙げられるが、一般的に街路幅員が広\nいほど利便性や快適性は高まるため、住宅地であっても商業地であっても、その要因が価格\n形成に与える影響の程度は同等である。\nハ　建物の個別的要因を把握する際には、省エネルギー対策の状況について特に留意する必要\nがあるが、昨今環境問題に対する需要者意識の高まり等により、その要因が価格形成に与え\nる影響の程度は変化しているため、変動の原則や予測の原則に基づき日常からその動向に注\n意を払う必要がある。\nニ　地域要因と重複する個別的要因については、地域分析を適切に行えば、その要因に係る個\n別的な価格形成も反映できるため、個別的要因の分析を省略することができる。\nホ　商業地における個別的要因の主なものとして、商業地域の中心への接近性や顧客の流動の\n状態との適合性等が挙げられる。","イとハ","イとホ","イとハとホ","ロとハとニ","ロとニとホ",3,,,,,,5,2025-11-08T00:00:00Z
r05-047,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,建物及びその敷地,7,"対象不動産が建物及びその敷地である場合の価格の鑑定評価について、誤っているも\nのをすべて掲げた組合せはどれか。\nイ　建物が商業施設である場合に特に留意すべき個別的要因として、基準階床面積、天井高、\n床荷重、情報通信対応設備・空調設備・電気設備等の状況及び共用施設の状態等がある。\nロ　建物及びその敷地に関する個別的要因として、敷地内における建物、駐車場、通路、庭等\nの配置、建物と敷地の規模の対応関係等建物等と敷地との適応の状態、修繕計画・管理計画\nの良否とその実施の状態がある。\nハ　鑑定評価によって求める価格の種類は、正常価格とならないこともある。\nニ　対象不動産の類型は、必ず「自用の建物及びその敷地」、「貸家及びその敷地」、「借地権付\n建物」のいずれかになる。\nホ　対象不動産の鑑定評価額は、収益価格で決定されることもある。","イとロ","イとハ","イとニ","ロとニとホ","ハとニとホ",3,,,,,,6,2025-11-08T00:00:00Z
r05-048,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の価格に関する諸原則,8,"不動産鑑定評価基準に記述されている不動産の価格に関する諸原則について、次のイ\nからホまでのうち、正しいものをすべて掲げた組合せはどれか。\nイ　不動産の取引価格は、その不動産の効用が最高度に発揮される可能性に最も富む使用を前\n提として把握される価格を上限として形成される。\nロ　財の価格は、その財の将来の収益性等についての予測を反映して定まる。不動産の価格も、\n価格形成要因の変動についての市場参加者による予測によって左右される。\nハ　不動産のある部分がその不動産の他の部分の収益獲得に寄与する度合いは、その不動産の\n他の部分の価格に影響を及ぼす。この原則は、不動産の最有効使用の判定に当たっての不動\n産の追加投資の適否の判定等に有用である。\nニ　不動産の収益性又は快適性が最高度に発揮されるためには、当該不動産がその環境に適合\nしていることが必要である。したがって、不動産の最有効使用を判定するためには、当該不\n動産が環境に適合しているかどうかを分析することが必要である。\nホ　一般に、利潤は競争を惹起し、競争は利潤を減少させ、終局的にはこれを消滅させる傾向\nを持つ。不動産についても、その利用による利潤を求めて、不動産相互間及び他の財との間\nにおいて競争関係が認められ、したがって、不動産の価格は、このような競争の過程におい\nて形成される。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",3,,,,,,7,2025-11-08T00:00:00Z
r05-049,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,対象不動産の確定,9,"対象不動産の確定に関する次の記述のうち、正しいものはどれか。","敷地利用権が借地権である １ 棟の賃貸マンションについて、その状態を所与として借地権の\nみの鑑定評価を依頼された場合の対象確定条件は、独立鑑定評価となる。","売買の参考のため、診療所（自己使用不動産）の鑑定評価を依頼された。類似の賃貸事例の\n収集は可能であった一方で、類似の取引事例の収集が困難であった。このような場合でも、収\n集可能な事例の有無によって対象不動産の類型を確定させるべきではない。","価格時点において、所有者が異なる隣地を買収して隣地と一体となった後の土地の鑑定評価\nは、併合鑑定評価であるため、限定価格を求めることになる。","不動産が土地及び建物等の結合により構成されている場合において、その状態を所与として\n鑑定評価の対象とするときの不動産の類型は、自用の建物及びその敷地又は貸家及びその敷地\nのいずれかとなる。","対象不動産の確定に当たっては、依頼者との十分な意思疎通や登記事項の確認が必要である\nが、当該不動産の現実の利用状況の確認までは必要ない。",2,,,,,,8,2025-11-08T00:00:00Z
r05-050,2023,令和,5,不動産鑑定士 短答,不動産の鑑定評価に関する理論,価格の種類,10,"価格の種類等に関する次の記述のうち、正しいものはどれか。","不動産鑑定士による不動産鑑定評価は、不動産の適正な価格形成に資するものでなければな\nらないため、現実の社会経済情勢を前提としつつも、必要に応じて不動産鑑定士が合理的と考\nえられる市場条件を付加したうえで、適正な価格（正常価格）を求めることが要請される。","土地及び建物から構成される複合不動産について、現実の建物の用途がその敷地の更地とし\nての最有効使用に一致していない場合には、その更地としての最有効使用を前提に正常価格を\n求める。","不動産鑑定評価基準各論第 ３ 章第 １ 節に規定する証券化対象不動産の鑑定評価目的の下で投\n資家に示すための投資採算価値を表す価格を求める場合に、正常価格を求める場合の条件の内\n容と異なる場合には、特殊価格として求める。","市場性を有する土地に関し、残地の価値が著しく低下するような分割により残地を除く部分\nの土地を取得する場合において、このような経済合理性に反する分割を反映した市場価値を表\n示する価格の種類は限定価格となる。","文化財等の一般的に市場性を有しない不動産について、その利用状況を前提とせず正常価格\nとして求める場合、その希少性や歴史的価値等の観点から用途変更や取壊しを考慮して鑑定評\n価を行うことはできない。",4,,,,,,8,2025-11-08T00:00:00Z
