id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r08-041,2026,令和,8,single_select,不動産の鑑定評価に関する理論,不動産の鑑定評価に関する基本的考察,1,「不動産の鑑定評価に関する基本的考察」に関する次の記述のうち、誤っているものはどれか。,不動産は、通常、土地とその定着物をいう。,土地は他の一般の諸財と異なって、地理的位置の固定性、不変性、永続性等を有しており、その利用形態並びにその社会的及び経済的な有用性は、固定的であって硬直的である。,不動産は、その自然的条件及び人文的条件の全部又は一部を共通にすることによって、他の不動産とともにある地域を構成し、その地域の構成分子としてその地域との間に、依存、補完等の関係に及びその地域内の他の構成分子である不動産との間に協働、代替、競争等の関係にたち、これらの関係を通じてその社会的及び経済的な有用性を発揮するものである。,不動産が属する地域は、他の地域と区別されるべき特性をそれぞれ有するとともに、他の地域との間の相互関係を通じて、その社会的及び経済的位置を占めるものである。,不動産鑑定士は、高度な知識と豊富な経験と的確な判断力とが有機的に統一されて、初めて的確な鑑定評価が可能となるのであるから、不断の勉強と研鑽とによってこれを体得し、鑑定評価の進歩改善に努力しなければならない。,2,,,,,,2026-05-23T00:00:00Z
r08-042,2026,令和,8,single_select,不動産の鑑定評価に関する理論,不動産の鑑定評価及び不動産鑑定士の責務,2,不動産の鑑定評価及び不動産鑑定士の責務に関する次の記述のうち、正しいものはどれか。,不動産の現実の取引価格等から不動産の適正な価格を見出すことは、一般の人と同様に不動産鑑定士にとっても非常に困難である。,不動産の鑑定評価は、その対象である不動産の経済価値を判定し、これを貨幣額をもって表示することである。したがって、不動産を特定せず、ある地域の相場としての賃料水準を求める行為は、不動産の鑑定評価に該当しない。,土地は、土地基本法に定める土地についての基本理念に即して利用及び取引が行われるべきであり、特に投機的取引の対象とされてはならないものである。不動産鑑定士は、このような土地についての基本的な認識に立って不動産の鑑定評価を行わなければならず、投機的取引と認められる事例を採用する場合には、取引の事情を正常なものに補正する必要がある。,不動産鑑定士は、良心に従い、誠実に不動産の鑑定評価を行う必要があり、市場参加者としての注意を払うことにより、専門職業家としての責務を果たし、社会一般の信頼と期待に報いることができる。,不動産鑑定士は、不動産の鑑定評価を担当するものとして、十分に能力のある専門家としての地位を付与されているものであるから、自己の能力の限度を超えていると思われる不動産の鑑定評価についても積極的に引き受けるべきである。,2,,,,,,2026-05-23T00:00:00Z
r08-043,2026,令和,8,single_select,不動産の鑑定評価に関する理論,不動産の種別,3,不動産の種別に関する次の記述のうち、正しいものはどれか。,宅地移行地とは、宅地地域以外の地域から宅地地域へと移行しつつある地域のうちにある土地をいう。,移行地については、特に周辺地域の地域要因の変化の推移、動向が移行地の変化の動向予測に当たって有効な資料となる。,住宅地域は、専ら居住の用に供されており、居住環境が良好であることから、事務所や小工場が混在する地域は住宅地域に含まれない。,普通商業地域とは、主として近隣の居住者に対する日用品等の販売を行う店舗等が連たんしている地域をいう。,長期優良住宅地とは、敷地が広く、街区及び画地が整然とし、植生と眺望、景観等が優れ、建築の施工の質の高い建物が連たんし、良好な近隣環境を形成する等居住環境の極めて良好な地域であり、従来から名声の高い住宅地域のうちにある土地をいう。,2,,,,,,2026-05-23T00:00:00Z
r08-044,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,不動産の類型,4,不動産の類型に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合せはどれか。\n</border>イ 建物等の定着物があり、使用収益を制約する権利が付着している宅地であっても、更地として鑑定評価を行う場合がある。\n</border>ロ マンション一戸は、一般的に区分所有建物及びその敷地に該当するが、専有部分が賃貸されている場合は貸家及びその敷地に該当する。\n</border>ハ 宅地について、借地借家法に規定する定期借地権が付着している場合における当該宅地の所有権は、底地には該当しない。\n</border>ニ 借地権付建物で、当該建物が自用の場合と建物が賃貸されている場合とでは適用する鑑定評価の手法が異なる。\n</border>ホ 区分地上権とは、工作物を所有するため、地下又は空間に上下の範囲を定めて設定された地上権をいう。,イとロ,イとホ,ロとニ,ハとニ,ハとホ,2,,,,,,2026-05-23T00:00:00Z
r08-045,2026,令和,8,fill_blank,不動産の鑑定評価に関する理論,不動産の価格を形成する要因,5,次の記述は、不動産の価格を形成する要因について、不動産鑑定評価基準に記載されている事項の一部である。次のイからハまでの空欄に入る語句として正しいものの組合せはどれか。不動産の価格を形成する要因（以下「価格形成要因」という。）とは、不動産の効用及び相対的稀少性並びに不動産に対する有効需要の三者に影響を与える要因をいう。不動産の価格は、多数の要因の（イ）の結果として形成されるものであるが、要因それ自体も常に変動する傾向を持っている。したがって、不動産の鑑定評価を行うに当たっては、価格形成要因を（ロ）の観点から明確に把握し、かつ、その推移及び動向並びに諸要因間の相互関係を十分に分析して、前記三者に及ぼすその影響を判定することが必要である。価格形成要因は、一般的要因、地域要因及び（ハ）要因に分けられる。,イ相互作用ロ市場参加者ハ個別的,イ相互作用ロ市場参加者ハ行政的,イ相互関連ロ市場参加者ハ個別的,イ相互関連ロ需要者ハ個別的,イ相互作用ロ需要者ハ行政的,1,,,,,,2026-05-23T00:00:00Z
r08-046,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,価格形成要因,6,価格形成要因に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合せはどれか。\n</border>イ 一般的要因とは、一般経済社会における不動産のあり方及びその価格の水準に影響を与える要因をいう。それは、自然的要因、社会的要因、経済的要因及び行政的要因に大別される。\n</border>ロ 不動産鑑定評価基準において、「国際化の状態」は、主な一般的要因のうち社会的要因として例示されている。\n</border>ハ 不動産鑑定評価基準において、「貯蓄、消費、投資及び国際収支の状態」、「情報化の進展の状態」は、主な一般的要因のうち経済的要因として例示されている。\n</border>ニ 不動産鑑定評価基準において、「土地利用に関する計画及び規制の状態」、「不動産に関する税制の状態」は、主な一般的要因のうち行政的要因として例示されている。\n</border>ホ 地域要因のうち、「日照、温度、湿度等の気象の状態」は、住宅地域特有の価格形成要因であり、他の地域の価格形成には影響を及ぼさない。,イとロ,イとニ,ロとハ,ハとホ,ニとホ,2,,,,,,2026-05-23T00:00:00Z
r08-047,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,土地に関する個別的要因,7,「土地に関する個別的要因」に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\n</border>イ 工業地の主な個別的要因として、接面街路の系統及び連続性が例示されているが、これは住宅地及び商業地の主な個別的要因としても例示されている。\n</border>ロ 工業地の主な個別的要因として、情報通信基盤の利用の難易が例示されているが、これは住宅地及び商業地の主な個別的要因としても例示されている。\n</border>ハ 工業地の主な個別的要因として、隣接不動産等周囲の状態が例示されているが、これは住宅地及び商業地の主な個別的要因としても例示されている。\n</border>ニ 工業地の主な個別的要因として、土壌汚染の有無及びその状態が例示されていないのは、工業地には土壌汚染が存することが通常であり、当該要因が価格形成に大きな影響を及ぼすことはないと考えられるためである。\n</border>ホ 埋蔵文化財の有無及びその状態に関して、対象不動産において重要な遺跡が発見され、保護のための調査が行われる場合には、土木工事等の停止又は禁止の期間、設計変更の要否等に留意する必要があり、その内容が開発法における価格時点から販売時点までの期間や付帯費用の額等に影響を及ぼす場合がある。,イとハ,イとホ,ロとニ,ロとホ,ハとニ,5,,,,,,2026-05-23T00:00:00Z
r08-048,2026,令和,8,single_select,不動産の鑑定評価に関する理論,不動産の価格に関する諸原則,8,「不動産の価格に関する諸原則」に関する次の記述のうち、誤っているものはどれか。,不動産の価格は、多数の価格形成要因の相互因果関係の組合せの流れである変動の過程において形成されるものである。また、この不動産の価格は、価格形成要因の変動についての市場参加者による予測によって左右される。,不動産の最有効使用を判定するためには、不動産の構成要素の組合せが均衡を得ているか、また、当該不動産がその環境に適合しているかを分析することが必要である。,ある単位投資額を継続的に増加させると、これに伴って純収益は増加する。しかし、増加させる単位投資額に対応する収益は、ある点までは増加するが、その後は減少する。この原則は、不動産の追加投資の場合についても同様である。,土地、資本、労働及び経営（組織）の各要素の結合によって生ずる総収益のうち、資本、労働及び経営（組織）に配分される部分以外の部分は、それぞれの配分が正しく行われる場合に限り、土地に帰属する。,不動産については、その利用による超過利潤を求めて、不動産相互間及び他の財との間において競争関係が認められ、したがって、不動産の価格は、このような競争の過程において形成される。,3,,,,,,2026-05-23T00:00:00Z
r08-049,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,対象確定条件,9,対象確定条件に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\n</border>イ 対象確定条件は、鑑定評価の対象とする不動産の所在、範囲等の物的事項及び所有権、賃借権等の対象不動産の権利の態様に関する事項を確定するために必要な条件である。\n</border>ロ 独立鑑定評価とは、不動産が土地及び建物等の結合により構成されている場合において、その土地のみを建物等が存しない独立のもの（更地）として鑑定評価の対象とすることをいう。\n</border>ハ 建物に係る未竣工建物等鑑定評価とは、建築に係る工事（建物を新築するものであり、増改築等は含まない。）が完了していない建物について、当該工事の完了を前提として鑑定評価の対象とすることをいう。\n</border>ニ 未竣工建物等鑑定評価を行う場合は、価格時点において想定される竣工後の不動産に係る物的確認を行うために必要な設計図書等及び権利の態様の確認を行うための請負契約書等を収集しなければならない。\n</border>ホ 鑑定評価書の利用者の利益を害するおそれがある場合とは、鑑定評価の対象とする不動産の現実の利用状況と異なる対象確定条件を設定した場合である。,イとロ,イとニ,ロとホ,ハとニ,ハとホ,5,,,,,,2026-05-23T00:00:00Z
r08-050,2026,令和,8,combo_iroha,不動産の鑑定評価に関する理論,貸家及びその敷地,10,Ｂが所有する土地・建物を、Ａが建物賃貸借契約に基づき賃借している場合における当該建物及びその敷地の鑑定評価に関する次のイからホまでの記述のうち、不動産鑑定評価基準及び同運用上の留意事項に照らし、誤っているものをすべて掲げた組合せはどれか。\n</border>イ 対象不動産の現実の状態を所与として鑑定評価の対象とする場合の類型は、貸家及びその敷地である。\n</border>ロ Ａが当該土地・建物を取得する際の鑑定評価で、依頼目的に照らして、鑑定評価書の利用者の利益を害するおそれがないかどうかの観点から妥当性が認められたため、取得後の状態を前提とした対象確定条件を設定し、自用の建物及びその敷地として鑑定評価を行った。\n</border>ハ Ａが土地について新たに賃借権を設定し、建物を取得する際の鑑定評価で、依頼目的に照らして、鑑定評価書の利用者の利益を害するおそれがないかどうかの観点から妥当性が認められたため、取得後の状態を前提とした対象確定条件を設定し、借地権付建物として鑑定評価を行った。\n</border>ニ 対象不動産が有料老人ホームであり、現行賃貸借契約における賃料が、事業採算性の観点から把握した適正な賃料水準より相当高額であるが、現に賃貸借に供されていることから、事業採算性は特に考慮せず、現行賃貸借契約における賃料により得た収益価格を標準として鑑定評価額を決定した。\n</border>ホ 対象不動産がホテルであり、実際にホテルを運営している事業者が通常よりも優れた能力を有することにより超過収益が生じている場合、当該超過収益は事業用不動産に帰属するものであるから、総収益の査定において当該超過収益を計上した。,イとハ,イとホ,ロとハ,ロとニ,ニとホ,5,,,,,,2026-05-23T00:00:00Z
