id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r06-001,2024,令和,6,不動産鑑定士 短答,不動産に関する行政法規,土地基本法,1,"土地基本法に関する次のイからホまでの記述のうち、誤っているものの組合\nせはどれか。\nイ 土地は、土地の所有者又は土地を使用収益する権原を有する者（以下この問にお\nいて「土地所有者等」という。）による適正な利用及び管理を促進する観点から円滑\nに取引されるものであり、投機的取引の対象とされてはならないものとされている。\nロ 土地の価値が地域住民その他の土地所有者等以外の者によるまちづくりの推進そ\nの他の地域における公共の利益の増進を図る活動により維持され、又は増加する場\n合には、土地所有者等に対し、当該活動に要する費用に対する負担を求めなければ\nならないものとされている。\nハ 国は、土地の有効利用及び経済の活性化を図るため、土地所有者等及び事業者に\nよる土地に対する投資を促すよう努めるものとされている。\nニ 国及び地方公共団体は、土地についての基本理念にのっとり、土地に関する施策\nを踏まえ、税負担の公平の確保を図りつつ、土地に関し、適正な税制上の措置を講\nずるものとされている。\nホ 政府は、土地の利用及び管理、土地の取引、土地の調査並びに土地に関する情報の\n提供に関する基本的施策その他の土地に関する施策の総合的な推進を図るため、土\n地に関する基本的な方針を定めなければならないものとされている。","イとロ","イとホ","ロとハ","ハとニ","ニとホ",3,,,,,,2,2025-11-08T00:00:00Z
r06-002,2024,令和,6,不動産鑑定士 短答,不動産に関する行政法規,不動産の鑑定評価に関する法律,2,"不動産の鑑定評価に関する法律に関する次のイからホまでの記述のうち、\n正しいものの組合せはどれか。\nイ 不動産鑑定業者の登録の有効期間は５年であり、有効期間満了後も引き続き不動\n産鑑定業を営もうとする者は、更新の登録を受ける必要がある。\nロ 不動産鑑定業者の登録を受けない者が不動産鑑定業を営んだときは、１年以下の\n懲役若しくは 100 万円以下の罰金に処せられ、又はこれを併科される。\nハ 不動産鑑定業者が合併により解散したときは、存続する法人の役員が国土交通大\n臣又は都道府県知事にその旨を届け出なければならない。\nニ 国土交通大臣又は都道府県知事は、不動産鑑定業者の登録に関する登録申請書の\n重要な事実の記載が欠けていても、その事実が明らかなときは、登録をすることが\nできる。\nホ 不動産鑑定士である不動産鑑定業者が自ら実地に不動産の鑑定評価を行わない事\n務所は、専任の不動産鑑定士を置く必要はない。","イとロ","イとホ","ロとニ","ハとニ","ハとホ",1,,,,,,3,2025-11-08T00:00:00Z
r06-003,2024,令和,6,不動産鑑定士 短答,不動産に関する行政法規,不動産の鑑定評価に関する法律,3,"不動産の鑑定評価に関する法律（以下この問において「法」という。）に関\nする次の記述のうち、誤っているものはどれか。","国土交通大臣は、不動産鑑定士が、相当の注意を怠り、鑑定評価等業務に関する著\nしく不当な行為を行ったときは、懲戒処分として、戒告を与え、又は１年以内の期間\nを定めて鑑定評価等業務を行うことを禁止することができる。","不動産鑑定業者は、毎年１回一定の時期に、過去１年間における事業実績の概要を\n記載した書面を国土交通大臣又は都道府県知事に提出しなければならない。","不動産鑑定業を営もうとする者は、不動産鑑定業者登録簿に登録を受けなければな\nらず、個人であるときはその氏名、法人であるときはその役員（業務を執行する社員、\n取締役、執行役又はこれらに準ずる者をいう。）の氏名を記載した登録申請書を提出\nしなければならない。","国土交通大臣又は都道府県知事は、その登録を受けた不動産鑑定業者が法に違反し\nたために、その不動産鑑定業者に対し、戒告を与えようとするときは、土地鑑定委員\n会の意見をきかなければならない。","不動産鑑定士は、鑑定評価等業務に必要な知識及び技能の維持向上に努める義務が\nある。",4,,,,,,3,2025-11-08T00:00:00Z
r06-004,2024,令和,6,不動産鑑定士 短答,不動産に関する行政法規,地価公示法,4,"地価公示法に関する次のイからホまでの記述のうち、正しいものの組合せは\nどれか。\nイ 土地鑑定委員会は、公示区域内の標準地について、単位面積当たりの正常な価格\nを判定するため必要があると認めるときは、不動産鑑定士に対し、鑑定評価を命ず\nることができる。\nロ 標準地の鑑定評価を行った不動産鑑定士は、国土交通大臣に対し、鑑定評価書を\n提出しなければならない。\nハ 土地鑑定委員会の命を受けた者は、標準地の鑑定評価のために必要がある場合に\nおいて、土地の占有者の承諾があったときは、日中に限り他人の占有する土地に立\nち入ることができる。\nニ 土地鑑定委員会は、公示区域内の標準地について、毎年１回、原則として２人以上\nの不動産鑑定士による鑑定評価を求めるが、正常な価格の判定に支障がないと認め\nられる場合においては、１人の不動産鑑定士による鑑定評価で足りる。\nホ 土地収用法によって土地を収用することができる事業を行う者が、公示区域内の\n土地の使用又は収益を制限する権利が存する土地を取得し、かつ、当該権利を消滅\nさせる場合において、当該権利を消滅させるための対価を定めるときは、公示価格\nを規準としなければならない。","イとハ","イとホ","ロとニ","ロとホ","ニとホ",2,,,,,,4,2025-11-08T00:00:00Z
r06-005,2024,令和,6,不動産鑑定士 短答,不動産に関する行政法規,国土利用計画法,5,"国土利用計画法に関する次の記述のうち、誤っているものはどれか。","都道府県は、当該都道府県の区域について、全国の区域について定める国土の利用\nに関する計画を基本として、土地利用基本計画を定めるものとされている。","個人Ａが都市計画法第７条第１項の規定による市街化区域内の一団の土地として、\n個人Ｂ所有の甲土地（1,200 平方メートル）と個人Ｃ所有の乙土地（1,500 平方メー\nトル）の土地を購入した場合、個人Ａは売買契約を締結した日から起算して２週間以\n内に、当該土地が所在する市町村の長を経由して、都道府県知事に所定の事項を届け\n出なければならない。","注視区域に指定された、都市計画法第４条第２項に規定する都市計画区域外に所在\nする 13,000 平方メートルの土地について売買契約を締結しようとする当事者は、あ\nらかじめ当該土地が所在する市町村の長を経由して、都道府県知事に所定の事項を届\nけ出なければならない。","都道府県知事は、当該都道府県の区域のうち、地価が急激に上昇し、又は上昇する\nおそれがあり、これによって適正かつ合理的な土地利用の確保が困難となるおそれが\nあると認められる一部の区域を、期間を定めて、注視区域として指定することができ\nる。","所有している土地について、都道府県知事から遊休土地である旨の通知を受けた者\nは、その通知があった日から起算して６週間以内に、一定の手続の下、その通知に係\nる当該土地の利用又は処分に関する計画を当該土地が所在する市町村の長を経由し\nて、都道府県知事に届け出なければならない。",4,,,,,,5,2025-11-08T00:00:00Z
r06-006,2024,令和,6,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,6,"都市計画法に関する次の記述のうち、誤っているものはどれか。","都市計画区域については、都市計画に、当該都市計画区域の整備、開発及び保全の\n方針を定めるものとされている。","都市計画区域については、都市計画に、都市施設を定めることができることとされ\nているが、都市計画区域外については、定めることができない。","都市計画区域について無秩序な市街化を防止し、計画的な市街化を図るため必要が\nあるときは、都市計画に、市街化区域と市街化調整区域との区分を定めることができ\nるとされている。","都道府県は、都市計画区域について、おおむね５年ごとに、都市計画に関する基礎\n調査を行うものとされている。","市街化調整区域については、原則として用途地域を定めないものとされている。",2,,,,,,5,2025-11-08T00:00:00Z
r06-007,2024,令和,6,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,7,"都市計画法に規定する地区計画等に関する次の記述のうち、誤っているもの\nはどれか。","都市計画区域については、都市計画に、地区計画、防災街区整備地区計画、歴史的\n風致維持向上地区計画、沿道地区計画又は集落地区計画を定めることができることと\nされている。","地区計画等については、都市計画に、地区計画等の種類、名称、位置及び区域を定\nめなければならないとともに、区域の面積等について定めるよう努めるものとされて\nいる。","現に土地の利用状況が著しく変化しつつあり、又は著しく変化することが確実であ\nると見込まれる土地の区域における地区計画については、都市計画に、再開発等促進\n区を定めることができることとされている。","地区計画については、当該地区計画の目標並びに当該区域の整備、開発及び保全に\n関する方針を定めなければならないとされている。","市街化調整区域における地区計画は、市街化区域における市街化の状況等を勘案し\nて、都市計画区域における計画的な市街化を図る上で支障がないように定めなければ\nならないとされている。",4,,,,,,6,2025-11-08T00:00:00Z
r06-008,2024,令和,6,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,8,"次のイからホまでの都市計画法に規定する地域地区のうち、準都市計画区域\nにおける都市計画に定めることができないものの組合せはどれか。\nイ 特別用途地区\nロ 特例容積率適用地区\nハ 高度地区\nニ 防火地域又は準防火地域\nホ 風致地区","イとロ","イとハ","ロとハ","ロとニ","ニとホ",4,,,,,,6,2025-11-08T00:00:00Z
r06-009,2024,令和,6,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,9,"都市計画法に関する次のイからホまでの記述のうち、開発許可を受ける必要\nがある開発行為の組合せとして正しいものはどれか。ただし、許可を受ける必要がある\n開発行為の規模について、条例による定めはないものとする。\nイ 市街化区域内において、学校教育法に規定する学校の建築の用に供する目的で行\nう 1,000 平方メートルの開発行為\nロ 市街化調整区域内において、都市公園法に規定する公園施設である建築物の建築\nの用に供する目的で行う 1,000 平方メートルの開発行為\nハ 市街化調整区域内において、当該区域内に存する鉱物資源の有効な利用上必要な\n建築物の建築の用に供する目的で行う 300 平方メートルの開発行為\nニ 区域区分が定められていない都市計画区域内において、私立美術館の建築の用に\n供する目的で行う 2,500 平方メートルの開発行為\nホ 都市計画区域及び準都市計画区域外の区域内において、林業を営む者の居住の用\nに供する建築物の建築の用に供する目的で行う 1,000 平方メートルの開発行為","イとハ","イとニ","ロとハ","ロとホ","ニとホ",1,,,,,,7,2025-11-08T00:00:00Z
r06-010,2024,令和,6,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,10,"下記の説明文は、開発許可に関する記述である。都市計画法の規定に照ら\nし、空欄に入る語句として、正しいものの組合せはどれか。\n都市計画法において「開発行為」とは、一定の目的をもって行う（ イ ）を指し、開\n発許可を申請しようとする者は、あらかじめ、開発行為に関係がある公共施設の管理者\n（ ロ ）必要がある。なお、開発許可を受けた者の相続人は、当該許可に基づく地位を\n（ ハ ）。","イ：建築物の建築 ロ：の同意を得る ハ：承継することができる","イ：建築物の建築 ロ：に届け出る ハ：承継することができない","イ：土地の区画形質の変更 ロ：に届け出る ハ：承継することができる","イ：土地の区画形質の変更 ロ：の同意を得る ハ：承継することができる","イ：土地の区画形質の変更 ロ：に届け出る ハ：承継することができない",4,,,,,,7,2025-11-08T00:00:00Z
