id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r03-001,2021,令和,3,不動産鑑定士 短答,不動産に関する行政法規,土地基本法,1,"土地基本法に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\nイ　土地の所有者は、その所有する土地の所有権の境界の明確化のための措置を適切に講ずる\nように努めなければならないものとされており、その努めを果たさなかった場合には、罰則\nが適用されるものとされている。\nロ　都道府県は、土地の利用及び管理、土地の取引、土地の調査並びに土地に関する情報の提\n供に関する基本的施策等の推進を図るため、土地に関する基本的な方針を定めなければなら\nないものとされている。\nハ　土地は、適正な地価の形成を図るため、投資の対象とされてはならないものとされている。\nニ　国及び地方公共団体は、適正な土地の利用及び管理の確保を図るための措置を講ずるに当\nたっては、低未利用土地の適正な利用及び管理の促進に努めるものとされているとともに、\n所有者不明土地の発生の抑制及び解消並びに円滑な利用及び管理の確保が図られるように努\nめるものとされている。\nホ　土地は、その周辺地域の良好な環境の形成を図るとともに当該周辺地域への悪影響を防止\nする観点から、適正に利用し、又は管理されるものとする。","イとロ","イとホ","ロとハ","ハとホ","ニとホ",5,,,,,,2,2025-11-08T00:00:00Z
r03-002,2021,令和,3,不動産鑑定士 短答,不動産に関する行政法規,不動産の鑑定評価に関する法律,2,"不動産の鑑定評価に関する法律に関する次の記述のうち、正しいものはどれか。","国土交通大臣は、不動産鑑定士が相当の注意を怠り、不当な鑑定評価等を行ったときは、懲\n戒処分として、その不動産鑑定士の登録を消除することができる。","不動産鑑定士は、正当な理由がなく、鑑定評価等業務に関して知り得た秘密を他に漏らして\nはならないが、不動産鑑定士でなくなった後においては、この限りではない。","国土交通大臣が、不当な鑑定評価を行った不動産鑑定士に対し、懲戒処分を行おうとする場\n合は、土地鑑定委員会の意見を聴かなければならない。","不動産鑑定業者は、事務所ごとの不動産鑑定士の変動を記載した書面を、不動産鑑定士の変\n動があるごとに、国土交通大臣又は都道府県知事に提出しなければならない。","都道府県知事は、不動産鑑定業の適正な運営の確保又はその健全な発達を図るため必要があ\nるときは、その都道府県内に事務所を有する不動産鑑定業者に対し、その営む不動産鑑定業に\n関し必要な助言又は勧告をすることができる。",3,,,,,,3,2025-11-08T00:00:00Z
r03-003,2021,令和,3,不動産鑑定士 短答,不動産に関する行政法規,不動産の鑑定評価に関する法律,3,"不動産の鑑定評価に関する法律に関する次の記述のうち、誤っているものはどれか。","国土交通大臣又は都道府県知事により、不動産鑑定業者の業務に従事する不動産鑑定士が懲\n戒処分を受け、監督処分として不動産鑑定業者の業務の停止が命じられる場合、その処分に先\n立って聴聞がなされる必要がある。","法人である不動産鑑定業者が不動産鑑定業を廃止したときは、法人を代表する役員が、廃業\nした日から 30 日以内に、廃業を届け出る必要がある。","役員に、偽りその他不正の手段により不動産鑑定士の登録を受けたため登録の消除の処分を\n受け、その処分の日から ３ 年を経過しない者が含まれる法人が、不動産鑑定業者としての登録\nを申請した場合、その登録は拒否される。","不動産鑑定業者の登録の更新において、期間満了 30 日前までに更新を申請すれば、その満了\nの日までにその申請に対する処分がなされないときでも、従前の登録は、満了後も効力を有す\nる。","国土交通大臣の登録を受けている不動産鑑定業者が、一の都道府県を除きその他の都道府県\nにおける事務所を廃止するときは、あらかじめ、国土交通大臣に廃業の届出をした上で、設置\nされる事務所の所在地を管轄する都道府県知事の登録を受ければよい。",5,,,,,,3,2025-11-08T00:00:00Z
r03-004,2021,令和,3,不動産鑑定士 短答,不動産に関する行政法規,地価公示法,4,"地価公示法に関する次のイからホまでの記述のうち、誤っているものの組合せはどれか。\nイ　国土利用計画法の規定により指定された規制区域については、標準地の価格の公示は行われない。\nロ　「正常な価格」とは、土地について、自由な取引が行われるとした場合におけるその取引において通常成立すると認められる価格のことをいい、この場合の取引には森林を宅地にする取引は含まれない。\nハ　土地鑑定委員会の命を受けた者が、標準地の鑑定評価のために、建築物が所在し、又はかき、さく等で囲まれた他人の占有する土地に立ち入ろうとするときは、あらかじめ、その旨を土地の占有者に告げなければならない。\nニ　不動産鑑定士は、公示区域内の土地について鑑定評価を行う場合において、当該土地の正常な価格を求めるときは、土地鑑定委員会により公示された標準地の価格を規準としなければならない。\nホ　標準地は、国土交通大臣が、自然的及び社会的条件からみて類似の利用価値を有すると認められる地域において、土地の利用状況、環境等が通常と認められる一団の土地について選定する。","イとロ","イとハ","ロとホ","ハとニ","ニとホ",3,,,,,,4,2025-11-08T00:00:00Z
r03-005,2021,令和,3,不動産鑑定士 短答,不動産に関する行政法規,国土利用計画法,5,"国土利用計画法（以下この問において「法」という。）に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\nイ　都道府県知事は、当該都道府県の区域のうち、都市計画法第 ４ 条第 ２ 項に規定する都市計画区域以外の区域にあっては、土地の投機的取引が相当範囲にわたり集中して行われ、又は行われるおそれがあり、及び地価が急激に上昇し、又は上昇するおそれがあると認められる場合において、その事態を緊急に除去しなければ適正かつ合理的な土地利用の確保が著しく困難となると認められる区域について、５ 年以内の期間を定めて、規制区域を指定することができる。\nロ　都道府県知事は、法第 23 条第 1 項に規定する届出（以下この問において「事後届出」という。）があった場合において、当該届出に係る土地を含む周辺の地域の適正かつ合理的な土地利用を図るために著しい支障があると認めるときは、土地利用審査会の意見を聴いた上で、当該届出に係る契約を無効とすることができる。\nハ　宅地建物取引業者が、都市計画区域内に所在する 10,000 平方メートルの土地について、所有者と当該土地に係る売買契約を締結した場合、当該業者は、事後届出を行わなければならない。\nニ　注視区域に個人Aが所有する 12,000 平方メートルの土地について、個人Bが売買契約を締結しようとした場合、個人Aは、あらかじめ、都道府県知事に届出を行う必要はない。\nホ　都道府県知事は、事後届出があった場合において、その届出をした者に対し、その届出に係る土地に関する権利の移転又は設定後における土地の利用目的及び取引額について、適正かつ合理的な土地利用を図るために必要な助言をすることができる。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",2,,,,,,5,2025-11-08T00:00:00Z
r03-006,2021,令和,3,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,6,"都市計画法に関する次の記述のうち、誤っているものはどれか。","田園住居地域については、都市計画に義務教育施設を定めるものとされている。","田園住居地域は、都市計画区域及び準都市計画区域に定めることができる。","田園住居地域内においては、高度地区を定めることができない。","田園住居地域については、都市計画に建築物の建蔽率を定めるものとされている。","田園住居地域が定められている土地の区域には、地区計画を定めることができる。",3,,,,,,5,2025-11-08T00:00:00Z
r03-007,2021,令和,3,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,7,"下記の説明文は、都市計画法に関する記述である。空欄に入る語句として、正しいものの組合せはどれか。\n　用途地域は、 イ ため定めるとされている第一種住居地域をはじめとした 13 の地域の総称である。 ロ は、用途地域が定められている土地の区域には定めることができず、 ハ は、用途地域が定められていない土地の区域には定めることができない。","イ　住居の環境を保護する　　ロ　特定用途制限地域　　ハ　再開発等促進区","イ　住居の環境を保護する　　ロ　特別用途地区　　　　ハ　再開発等促進区","イ　住居の環境を保護する　　ロ　特別用途地区　　　　ハ　開発整備促進区","イ　住居と住居以外の用途とを適正に配分する\n　　ロ　特別用途地区　　　　　　ハ　再開発等促進区","イ　住居と住居以外の用途とを適正に配分する\n　　ロ　特定用途制限地域　　　　ハ　開発整備促進区",1,,,,,,6,2025-11-08T00:00:00Z
r03-008,2021,令和,3,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,8,"都市計画法に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。\nイ　地区計画については、都市計画に、その種類、名称、位置、区域及び区域の面積並びに地区整備計画を定めなければならない。\nロ　用途地域が定められていない土地の区域のうち、健全な住宅市街地における良好な居住環境その他優れた街区の環境が形成されている土地の区域には、地区計画を定めることができる。\nハ　地区計画を都市計画に定める際、当該地区計画の区域の全部又は一部について地区整備計画を定めることができない特別の事情があるときは、当該区域の全部又は一部について地区整備計画を定めることを要しない。\nニ　沿道地区計画は、道路の沿道としての地域の特性にふさわしい業務の利便の増進を図りつつ、これと調和した住居の環境を保護するように定めるものとする。\nホ　商業地域が定められている土地の区域における地区計画については、特定大規模建築物の整備による商業その他の業務の利便の増進を図るため、開発整備促進区を都市計画に定めることができる。","イとハ","イとニ","ロとハ","ロとホ","ハとニ",3,,,,,,6,2025-11-08T00:00:00Z
r03-009,2021,令和,3,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,9,"都市計画法に関する次の記述のうち、開発許可を受ける必要がある開発行為はどれか。ただし、許可を受ける必要がある開発行為の規模については、条例による定めはないものとする。","市街化区域において、市街地再開発事業の施行として行う 5,000 平方メートルの開発行為","市街化調整区域において、博物館法に規定する博物館の建築の用に供する目的で行われる 3,000 平方メートルの開発行為","市街化区域において、店舗の建築の用に供する目的で行われる 1,000 平方メートルの開発行為","市街化調整区域において、都市公園法に規定する公園施設の建築の用に供する目的で行われる 2,000 平方メートルの開発行為","区域区分が定められていない都市計画区域において、非常災害のため必要な応急措置として行う 10,000 平方メートルの開発行為",3,,,,,,7,2025-11-08T00:00:00Z
r03-010,2021,令和,3,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,10,"都市計画法に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。ただし、以下の記述のうち、「都道府県知事」は指定都市、中核市又は施行時特例市の長を含むものとする。\nイ　開発行為によって設置された公共施設は、原則として、工事完了の公告の日の翌日から、その公共施設の存する都道府県が管理することとなる。\nロ　市街化調整区域のうち開発許可を受けた開発区域以外の区域内において、非常災害のため必要な応急措置として行う建築物の新築については、都道府県知事の許可を受ける必要はない。\nハ　開発行為によって、従前の公共施設に代えて新たに公共施設が設置される場合、従前の公共施設の用に供していた土地で国又は地方公共団体が所有するものは、工事完了の公告の日の翌日から、開発許可を受けた者に帰属することとなる。\nニ　開発許可を申請しようとする者は、あらかじめ、開発行為又は開発行為に関する工事により設置される公共施設を管理することとなる者と協議し、その同意を得なければならない。\nホ　市街化調整区域のうち開発許可を受けた開発区域以外の区域内において、都市計画事業の施行として建築物の建築を行う場合は、都道府県知事の許可を受ける必要がある。","イとハ","イとホ","ロとハ","ロとニ","ニとホ",3,,,,,,8,2025-11-08T00:00:00Z
