id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r06-041,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産とその価格,1,"不動産とその価格の特徴に関する次のイからホまでの記述のうち、誤っている\nものをすべて掲げた組合せはどれか。\nイ 土地は、人文的特性として用途の多様性を有しており、一つの土地に複数の用途が競\n合する場合がある。土地の価格は前提とする用途によって決定され、用途は価格を主要\nな指標として決定される。\nロ 土地の自然的特性として併合及び分割の可能性があり、隣地併合による規模の拡大や\n分割による細分化は、土地が持っている固有の特性と考えられる。\nハ 土地の特性には永続性（不変性）があり、一般的に建物のような老朽化はしない。一\n方で、土地上に土地所有者名義の建物が存する場合には、当該建物の老朽化は、敷地で\nある土地の経済価値を低下させることがある。\nニ 不動産は、その自然的条件及び人文的条件の全部又は一部を共通にすることによって、\n他の不動産とともにある地域を構成しており、地域内の不動産との間には協働等の関係\nがある。\nホ 不動産の価格（又は賃料）は、通常、過去と現在とにわたる長期的な考慮の下に形成\nされる。したがって、不動産の価格（又は賃料）は、昨日の展開であり、今日を反映す\nるものであって常に変化の過程にあるものである。","イとロ","イとニ","ロとホ","ハとニ","ハとホ",3,,,,,,2,2025-11-08T00:00:00Z
r06-042,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の価格及び賃料,2,"不動産の価格及び賃料に関する次のイからホまでの記述のうち、誤っているも\nのをすべて掲げた組合せはどれか。\nイ 不動産は他の一般の諸財と異なる特徴を有しているため、社会における一連の価格秩\n序のなかで、不動産の価格及び賃料がどのような所に位するかを指摘する意味を持つ不\n動産の鑑定評価の社会的公共的意義は大きい。\nロ 不動産の鑑定評価とは、現実の社会経済情勢の下で合理的と考えられる市場で形成さ\nれるであろう市場価値を表示する適正な価格を、不動産鑑定士が的確に把握する作業に\n代表されるが、不動産鑑定士は、不動産が市場性を有しない場合にもその経済価値を判\n定する場合がある。\nハ 不動産の現実の取引価格等は、取引等の必要に応じて個別的に形成されるのが通常で\nあるため、不動産の鑑定評価においても常に個別的な事情を前提とする価格を求める。\nニ 不動産の経済価値は、一般に、交換の対価である価格として表示されるとともに、そ\nの用益の対価である賃料として表示される。価格と賃料との間には、いわゆる元本と果\n実との間に認められる相関関係があり、価格と賃料のいずれについても、その関係性に\n着目した鑑定評価の手法がある。\nホ 二つ以上の権利利益が同一の不動産の上に存する場合には、それぞれの権利利益につ\nいて、その価格（又は賃料）が形成され得るが、ある不動産についての所有権の価格を\n求める場合には、当該不動産の使用、収益、処分について、何らの制約のない価格を求\nめる。","イとロ","イとニ","ロとホ","ハとニ","ハとホ",5,,,,,,3,2025-11-08T00:00:00Z
r06-043,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の種別,3,"不動産の種別に関する次のイからホまでの記述のうち、誤っているものをすべ\nて掲げた組合せはどれか。\nイ 不動産の鑑定評価において、不動産の用途に関して区分される不動産の分類を不動産\nの種別といい、不動産の種別の分類は、地域分析、個別分析、鑑定評価の手法の適用等\nの各手順を通じて重要な事項となっている。\nロ 地域の種別は、宅地地域、農地地域、林地地域等に分けられる。土地の種別は、宅地、\n農地、林地、見込地、移行地等に分けられる。\nハ 農地とは、農地地域のうちにある土地をいい、農地地域の種別の細分に応じてさらに\n細分することができる。\nニ 宅地地域のうちにあって、居住の用に供される建物等と商業活動の用に供される建物\n等が混在している場合の土地の種別は、居住の用に供されている建物等が多い場合は住\n宅移行地、商業活動の用に供されている建物等が多い場合は商業移行地と判断される。\nホ 林地地域とは、林業生産活動のうち木竹又は特用林産物の生育の用に供されること\nが、自然的観点からみて合理的と判断される地域をいう。","イとハ","イとホ","ロとハ","ロとニ","ニとホ",5,,,,,,4,2025-11-08T00:00:00Z
r06-044,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の類型,4,"不動産の類型に関する次のイからホまでの記述のうち、正しいものをすべて掲\nげた組合せはどれか。\nイ 不動産の類型とは、その有形的利用及び権利関係の態様に応じて区分される不動産の\n分類をいい、当該不動産が属する地域の特性に左右される。\nロ 建物所有者とその敷地の所有者とが同一人であり、過去に建物が賃貸借に供されてい\nた場合、価格時点において建物が賃貸借に供されてなくても、その収益性が重視され\nるため、当該建物及びその敷地の類型は、貸家及びその敷地となる。\nハ 建物等の用に供されている土地の類型は、権利の態様にかかわらず建付地となる。\nニ 区分地上権とは、工作物を所有するため、地下又は空間に上下の範囲を定めて設定さ\nれた地上権をいう。\nホ 借地権付建物とは、借地権を権原とする建物が存する場合における当該建物及び借地\n権をいう。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",5,,,,,,5,2025-11-08T00:00:00Z
r06-045,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,価格形成要因,5,"不動産の価格を形成する要因に関する次のイからホまでの記述のうち、誤って\nいるものをすべて掲げた組合せはどれか。\nイ 不動産の価格を形成する要因とは、不動産の効用及び相対的稀少性並びに不動産に対\nする有効需要の三者に影響を与える要因をいう。\nロ 不動産の鑑定評価を行うに当たっては、価格形成要因を市場参加者の観点から明確に\n把握し、かつ、その推移及び動向並びに諸要因間の相互関係を十分に分析する必要があ\nる。\nハ 一般的要因は、自然的要因、政治的要因、経済的要因及び行政的要因に大別される。\nニ 地域要因とは、個別的要因の相関結合によって規模、構成の内容、機能等にわたる各\n地域の特性を形成し、その地域に属する不動産の価格の形成に全般的な影響を与える要\n因をいう。\nホ 日照、温度、湿度、風向等の気象の状態は、住宅地域の地域要因のみならず、商業地\n域、工業地域それぞれの地域要因にもなる。","イとロ","イとハ","ロとホ","ハとニ","ニとホ",4,,,,,,6,2025-11-08T00:00:00Z
r06-046,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,個別的要因,6,"不動産の個別的要因に関する次の記述のうち、不動産鑑定評価基準に記載され\nている農地の個別的要因の主なものの例示として誤っているものどれか。","日照、乾湿、雨量等の状態","灌漑排水の状態","集落との接近の程度","管理の難易","災害の危険性の程度",4,,,,,,6,2025-11-08T00:00:00Z
r06-047,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,個別的要因,7,"不動産の個別的要因に関する次のイからホまでの記述のうち、誤っているもの\nをすべて掲げた組合せはどれか。\nイ 土地に関する個別的要因について、対象不動産が、土壌汚染対策法に規定する有害物\n質使用特定施設に係る工場若しくは事業場の敷地又はこれらの敷地であった履歴を有す\nる土地を含むか否かに留意する必要がある。\nロ 見込地及び移行地については、転換し、又は移行すると見込まれる転換後又は移行後\nの種別の地域内の土地の個別的要因をより重視すべきであるが、転換又は移行の程度の\n低い場合においては、転換前又は移行前の種別の地域内の土地の個別的要因をより重視\nすべきである。\nハ 建物の各用途に共通する個別的要因については、市場参加者が取引等に際して着目す\nるであろう個別的要因が、建物の用途毎に異なることに留意する必要がある。\nニ 不動産鑑定評価基準運用上の留意事項における建物の用途毎に特に留意すべき個別的\n要因として、商業施設については、基準階床面積、天井高、床荷重、情報通信対応設備\n・空調設備・電気設備等の状況及び共用施設の状態等が例示されている。\nホ 不動産鑑定評価基準に記載されている賃貸用不動産に関する個別的要因には、賃貸経\n営管理の良否があり、その主なものとしては、賃借人の状況及び賃貸借契約の内容、貸\n室の稼働状況、躯体・設備・内装等の使用資材及び修繕費用等の負担区分が例示されて\nいる。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",5,,,,,,7,2025-11-08T00:00:00Z
r06-048,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の価格に関する諸原則,8,"不動産の価格に関する諸原則に関連した次のイからホまでの記述のうち、正し\nいものをすべて掲げた組合せはどれか。\nイ 代替の原則により、不動産の価格も代替可能な他の不動産又は財の価格と相互に関連\nして形成されるが、現況による管理を継続する公共公益施設の用に供されている不動産\nについては、代替性が不十分である点に留意する必要がある。\nロ 不動産は他の財と異なり用途の多様性を有するため、一つの不動産に対して複数の最\n有効使用を判定することが多い。\nハ 適合の原則は、均衡の原則とともに不動産の最有効使用の判定において重要であり、\n不動産の最有効使用を判定するためには、当該不動産が社会的要請に適合しているかど\nうかを分析することが必要である。\nニ 競争の原則は、不動産の価格は不動産相互間及び他の財との間の競争の過程において\n形成されるという原則であり、代替の原則とも関連している。\nホ 収益逓増及び逓減の原則は、ある単位投資額を継続的に増加させると、これに伴って\n総収益は増加する一方、ある単位投資額を継続的に減少させると、これに伴って総収益\nは減少するという原則である。","イとハ","イとニ","ロとハ","ロとホ","ニとホ",2,,,,,,8,2025-11-08T00:00:00Z
r06-049,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,対象不動産の確定,9,"対象不動産の確定に関する次のイからホまでの記述のうち、誤っているものを\nすべて掲げた組合せはどれか。\nイ 不動産の鑑定評価を行うに当たっては、まず、鑑定評価の対象となる土地又は建物等\nを物的に確定することのみならず、鑑定評価の対象となる所有権及び所有権以外の権利\nを確定する必要がある。\nロ 対象不動産の確定は、鑑定評価の対象を明確に他の不動産と区別し、特定することで\nあり、それは不動産鑑定士が鑑定評価の依頼目的及び条件に照応する対象不動産と当該\n不動産の合理的な利用方法とを照合して確認するという実践行為を経て最終的に確定さ\nれるべきものである。\nハ 対象確定条件は、鑑定評価の対象とする不動産の所在、範囲等の物的事項及び所有権、\n賃借権等の対象不動産の権利の態様に関する事項を確定するために必要な条件である。\nニ 建築に係る工事が完了していない建物は、未竣工建物等鑑定評価の対象となるが、造\n成に関する工事が完了していない土地は、対象とならない。\nホ 未竣工建物等鑑定評価を行う場合には、価格時点において想定される竣工後の不動産\nに係る物的確認を行うために必要な設計図書等及び権利の態様の確認を行うための請負\n契約書等を収集しなければならず、さらに、当該未竣工建物等に係る法令上必要な許認\n可等が取得され、発注者の資金調達能力等の観点から工事完了の実現性が高いと判断さ\nれなければならない。","イとロ","イとハ","ロとニ","ハとホ","ニとホ",3,,,,,,9,2025-11-08T00:00:00Z
r06-050,2024,令和,6,不動産鑑定士 短答,不動産の鑑定評価に関する理論,調査範囲等条件,10,"不動産鑑定士の通常の調査の範囲では、対象不動産の価格への影響の程度を判\n断するための事実の確認が困難な特定の価格形成要因について、調査範囲等条件を設定する\nことができると判断される場合の例示として、誤っているものはどれか。","依頼者等による当該価格形成要因に係る調査、査定又は考慮した結果に基づき、鑑定評\n価書の利用者が不動産の価格形成に係る影響の判断を自ら行う場合","不動産の担保価値把握のための鑑定評価において、対象不動産の所有者が当該価格形成\n要因が存する場合における取扱いについての指針を有し、当該価格形成要因に係る判断に\n資するための調査が実施される場合","当該価格形成要因が存する場合における損失等が保険等で担保される場合","不動産の売買契約等において、当該価格形成要因に係る契約当事者間での取扱いが約定\nされる場合","財務諸表の作成のための鑑定評価において、当該価格形成要因が存する場合における引\n当金が計上される場合、財務諸表に当該要因の存否や財務会計上の取扱いに係る注記がな\nされる場合その他財務会計上、当該価格形成要因に係る影響の程度について別途考慮され\nる場合",2,,,,,,10,2025-11-08T00:00:00Z
