id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r07-001,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,土地基本法,1,"土地基本法に関する次の記述のうち、正しいものはどれか。","国及び地方公共団体は、土地の所有者又は土地を使用収益する権原を有する者\n（以下この問において「土地所有者等」という。）が社会資本の整備に関連して著\nしく利益を受けることとなる場合には、その社会資本の整備についての適切な負担\nを課すための措置を当然に講ずるものとされている。","政府は、適正な土地の利用及び管理の確保を図るための措置や土地の取引に関す\nる措置、土地に関する調査の実施及び資料の収集に関する措置に関する基本的事項\nなどについての方針を作成し、これを毎年、国会に提出しなければならないものと\nされている。","土地所有者等は、土地の利用及び管理並びに取引を行う責務を遂行するために、\nその所有する土地の所有権の境界の明確化のための措置を講じなければならないも\nのとされている。","土地は、土地所有者等による適正な利用及び管理を促進する観点から円滑に取引\nされるものとされ、例外なく投機的取引の対象とされてはならない。","国及び地方公共団体は、諸条件を勘案して必要な土地の利用及び管理に関する計\n画を策定するに当たっては、住民その他の関係者の意見を聴取する機会を設けるこ\nととされているが、計画に反映させることまでは求められていない。",4,,,,,,2,
r07-002,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,不動産の鑑定評価に関する法律,2,"不動産の鑑定評価に関する法律に関する次の記述のうち、正しいものはどれか。","不動産鑑定士は、他の法律で定めのある場合を除き、不動産鑑定士の名称を用い\nて、不動産の客観的価値に作用する諸要因に関して調査若しくは分析を行い、又は\n不動産の利用、取引若しくは投資に関する相談に応じることを業とすることができ\nる。","不動産鑑定業を営もうとする者は、全て国土交通省に備える不動産鑑定業者登録\n簿に登録を受けなければならない。","不動産鑑定士試験に合格し、実務修習を修了した未成年者は、不動産鑑定士の登\n録を受けることができる。","不動産鑑定業者は、正当な理由がなく、その業務上取り扱ったことについて知り\n得た秘密を他に漏らしてはならないが、不動産鑑定業を廃止した後はこの限りでない。","国土交通大臣は、不動産鑑定士が不当な鑑定評価等を行ったため鑑定評価等業務\nを禁止しようとするときは、行政手続法の規定による意見陳述のための手続の区分\nに基づき、聴聞又は弁明の機会を付与しなければならない。",1,,,,,,3,
r07-003,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,不動産の鑑定評価に関する法律,3,"不動産の鑑定評価に関する法律に関する次の記述のうち、正しいものはどれか。","不動産鑑定士の登録の有効期限は５年であり、引き続き不動産鑑定士の名称を用\nいるには、更新の登録を受けなければならない。","「不動産鑑定業」とは、他人の求めに応じ不動産の鑑定評価を業として行うこと\nをいい、自ら行うか他人を使用して行うか及び報酬の有無は問わない。","農地、採草放牧地又は森林の取引価格（農地、採草放牧地及び森林以外のものと\nするための取引に係るものを除く。）を評価することは、不動産の鑑定評価に含ま\nれない。","不動産鑑定業者は、不動産鑑定士が監督者として配置されていれば、不動産鑑定\n士でない者に鑑定評価に必要な調査の実施及び不動産の経済価値の判定を行わせる\nことができる。","偽りその他不正の手段により不動産鑑定業者の登録を受けた者は、６月以下の懲\n役若しくは 50 万円以下の罰金に処し、又はこれを併科される。",3,,,,,,3,
r07-004,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,地価公示法,4,"地価公示法に関する次の記述のうち、誤っているものの組合せはどれか。\nイ 地価公示において判定される「正常な価格」とは、土地について、自由な取引が\n行われるとした場合において通常成立すると認められる価格をいい、当該土地に建\n物等の定着物がある場合には、これらの定着物が存するものとして通常成立すると\n認められる価格をいう。\nロ 標準地の正常な価格の判定に当たっては、２人以上の不動産鑑定士の鑑定評価を\n求めなければならない。\nハ 標準地は、自然的及び社会的条件からみて類似の利用価値を有すると認められる\n地域において、土地の利用状況、環境等が通常と認められる一団の土地について、\n土地鑑定委員会が選定するものである。\nニ 土地鑑定委員会の命を受けた者は、標準地の鑑定評価を行うために必要があると\nきは、その必要な限度において、他人の占有する土地に立ち入ることができ、当該\n土地の占有者は正当な理由がない限りこれを拒んではならない。\nホ 都市及びその周辺の地域等において、土地の取引を行う者は、取引の対象土地に\n類似する利用価値を有すると認められる標準地について公示された価格を指標とし\nて取引を行わなければならない。","イとロ","イとホ","ロとニ","ハとニ","ハとホ",2,,,,,,4,
r07-005,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,国土利用計画法,5,"国土利用計画法に関する次のイからホまでの記述のうち、正しいものの組合せはどれか。ただし、本問においては、特段の言及がない限り、国土利用計画法に基づく区域の指定が行われていないものとする。\nイ 市街化調整区域に所在する 7,000 平方メートルの一団の土地の取得を希望するＤ\nは、5,000 平方メートル分をＥから、2,000 平方メートル分をＦからそれぞれ取得\nすることにした。この場合、ＤはＥとの契約の締結後２週間以内に予定対価の額や\n土地の利用目的などを都道府県知事に届け出る義務を負うが、Ｆとの契約について\nはその義務を負わない。\nロ 注視区域に指定された、都市計画法第７条第１項に規定する市街化区域に所在す\nる 3,000 平方メートルの土地取引を行う場合には、当事者は、契約の締結前に、予\n定対価の額や土地の利用目的などを都道府県知事に届け出なければならない。\nハ ＡがＢに、都市計画法第７条第１項に規定する市街化調整区域に所在する 6,000\n平方メートルの土地を売却する場合には、契約の締結後２週間以内に、Ａは対価の\n額や土地の利用目的などを都道府県知事に届け出なければならない。\nニ 市街化区域において 2,500 平方メートルの土地を保有するＣは、都道府県知事か\nら当該土地が遊休土地である旨の通知を受けることがあり、この場合Ｃは、遊休土\n地の利用又は処分に関する計画を都道府県知事に届け出なければならない。\nホ 規制区域内では土地売買等の契約について事前に都道府県知事の許可を受けなけ\nればならず、許可を得ずに契約を締結した場合には当事者に罰則が適用されるが、\n成立した契約自体は有効となる。","イとロ","イとホ","ロとニ","ハとニ","ハとホ",3,,,,,,4,
r07-006,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,6,"都市計画法に関する次の記述のうち、正しいものはどれか。","都市計画事業については、土地収用法の規定による事業の認定をもって都市計画\n法の規定による都市計画事業の認可又は承認に代えるものとされている。","国の機関、都道府県及び市町村以外の者は、事業の施行に関して行政機関の免許、\n許可、認可等の処分を必要とする場合においてこれらの処分を受けているときは、\n国土交通大臣の承認を受けて、都市計画事業を施行することができる。","都市計画区域の整備、開発及び保全の方針に関する都市計画については市町村が、\n区域区分に関する都市計画については都道府県が定めることとされている。","都道府県又は市町村は、都市計画の決定又は変更の提案が行われたときは、遅滞\nなく、計画提案を踏まえた都市計画の案を作成しなければならない。","国、都道府県又は市町村は、都市計画事業によって著しく利益を受ける者がある\nときは、その利益を受ける限度において、当該事業に要する費用の一部を当該利益\nを受ける者に負担させることができる。",5,,,,,,5,
r07-007,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,7,"都市計画法に関する次のイからホまでの記述のうち、誤っているものの組合せはどれか。\nイ 風致地区は、都市の風致を維持するため定める地区であり、地区内における建築\n物の建築、宅地の造成、木竹の伐採その他の行為については、地方公共団体の条例\nで、都市の風致を維持するため必要な規制をすることができる。\nロ 高層住居誘導地区は、住居と住居以外の用途とを適正に配分し、利便性の高い高\n層住宅の建設を誘導するため、建築物の高さの最低限度を定める地区である。\nハ 特定用途制限地域は、用途地域が定められている土地の区域内において、その良\n好な環境の形成又は保持のため当該地域の特性に応じて合理的な土地利用が行われ\nるよう、制限すべき特定の建築物等の用途の概要を定める地域である。\nニ 田園住居地域は、農業の利便の増進を図りつつ、これと調和した低層住宅に係る\n良好な住居の環境を保護するため定める地域であり、農業の利便を増進するために\n必要な店舗等を建築することができることとされている。\nホ 特定街区は、市街地の整備改善を図るため街区の整備又は造成が行われる地区に\nついて、その街区内における建築物の容積率並びに建築物の高さの最高限度及び壁\n面の位置の制限を定める街区である。","イとロ","イとニ","ロとハ","ハとホ","ニとホ",3,,,,,,5,
r07-008,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,8,"都市計画法に関する次の記述のうち、誤っているものはどれか。","市街化区域及び区域区分が定められていない都市計画区域において、特に必要が\nあるときは、都市施設として道路、公園及び下水道を定めることができるとされて\nいる。","第一種低層住居専用地域、第二種低層住居専用地域、第一種中高層住居専用地域、\n第二種中高層住居専用地域、第一種住居地域、第二種住居地域、準住居地域及び田\n園住居地域については、都市施設として義務教育施設を定めるものとされている。","都市計画において定められた施設である都市計画施設の区域内において建築物の\n建築をしようとする者は、原則として都道府県知事等の許可を受けなければならな\nいが、国や都道府県、市町村が都市施設に関する都市計画に適合して行う行為につ\nいては許可を要しない。","道路、都市高速鉄道、河川などの都市施設については、適正かつ合理的な土地利\n用を図るため必要があるときは、当該都市施設の区域の地下又は空間について、当\n該都市施設を整備する立体的な範囲を都市計画に定めることができる。","一の市町村の区域を超える広域の見地から決定すべき都市施設又は根幹的都市施\n設に関する都市計画については、都道府県が定めるものとされており、例えば産業\n廃棄物処理施設が挙げられる。",1,,,,,,6,
r07-009,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,9,"都市計画法に関する次の記述のうち、開発許可を受ける必要がある開発行為はどれか。ただし、許可を受ける必要がある開発行為の規模について、条例による定めはないものとする。","市街化区域において、社会教育法に規定する公民館の建築の用に供する目的で行\nう 1,500 平方メートルの開発行為","市街化調整区域内において、医療法に規定する診療所の用に供する施設である建\n築物の建築の用に供する目的で行う 1,000 平方メートルの開発行為","区域区分が定められていない都市計画区域において、非常災害のため必要な応急\n措置として行う 8,000 平方メートルの開発行為","市街化区域内において、自己居住用の住宅の建築の用に供する目的で行う 100 平\n方メートルの開発行為","市街化調整区域内における庭球場の建設の用に供する目的で行う 5,000 平方メー\nトルの開発行為",2,,,,,,6,
r07-010,2025,令和,7,不動産鑑定士 短答,不動産に関する行政法規,都市計画法,10,"都市計画法に関する次のイからホまでの記述のうち、誤っているものの組合せはどれか。ただし、以下の記述のうち、「都道府県知事」は指定都市、中核市又は施行時特例市の長を含むものとする。\nイ 用途地域等の定めがない土地のうち開発許可を受けた開発区域内においては、開\n発行為に関する工事完了の公告があった後は、都道府県知事の許可を受けなければ、\n当該開発許可に係る予定建築物等以外の建築物を新築することができない。\nロ 非自己居住用の住宅の建築の用に供する目的で行う開発行為は、開発区域内に災\n害危険区域、地すべり防止区域、土砂災害特別警戒区域、浸水被害防止区域及び急\n傾斜地崩壊危険区域等の区域内の土地を含んではいけない。ただし、支障がないと\n認められるときは、この限りでない。\nハ 開発行為とは、主として建築物の建築の用に供する目的で行う土地の区画形質の\n変更をいい、建築物以外の工作物の建設の用に供する目的で行う土地の区画形質の\n変更は開発行為には該当しない。\nニ 開発許可を受けた者は、開発行為に関する工事を廃止したときは、やむを得ない\n場合を除いて、その旨を都道府県知事に届け出なければならない。\nホ 開発行為に同意していない土地の所有者は、当該土地の開発行為に関する工事完\n了の公告前に、当該開発許可を受けた開発区域内において、その権利の行使として\n自己の土地に建築物を建築することができる。","イとロ","イとホ","ロとハ","ハとニ","ニとホ",4,,,,,,7,
