id,year,era,era_year,exam,subject,topic,question_no,statement,choice1,choice2,choice3,choice4,choice5,answer,explanation,law_citations,difficulty,tags,source_page,updated_at
r04-041,2022,令和,4,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産とその価格,1,"不動産とその価格の特徴に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\nイ　土地の人文的特性の １ つである「併合及び分割の可能性」の併合の例として、借地権付建物の所有者が敷地の所有権を取得するケースがあげられる。この場合、併合後の建物及びその敷地の正常価格は、併合前の借地権付建物の正常価格と底地の正常価格の合計に等しい。\nロ　価格と賃料の間には、いわゆる元本と果実との間に認められる相関関係を認めることができるから、築年の経過した建物を新たに賃貸する場合において、自用の建物及びその敷地の最有効使用が「建物を取り壊して更地化すること」と判定されるときは、その果実としての賃料は、ゼロとなる。\nハ　土地は人文的特性として「用途の多様性」を有し、異なった使用方法を前提とする需要が競合する。更地の最有効使用としては、それらのうちから １ つの使用方法を判定することとなるが、一棟の建物内において、複数用途が併存する使用方法を最有効使用と判定することは有効といえる。\nニ　不動産は他の不動産とともにある地域を構成し、当該地域は、他の地域と区別されるべき特性を有する。不動産の種別の分類は、このような不動産の地域性と地域の特性が前提となっており、不動産の鑑定評価における各手順を通じて重要な事項となっている。\nホ　不動産には、所有権のほか、地上権、地役権、賃借権等各種の権利利益が存立することが可能であるが、各々の価格（又は賃料）は別々の市場において形成されるため、相互に影響を及ぼさないことに留意が必要である。","イとロとホ","ロとハとホ","ハとニとホ","イとロとハとホ","ロとハとニとホ",1,,,,,,2,2025-11-08T00:00:00Z
r04-042,2022,令和,4,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産鑑定士の責務,2,"不動産の鑑定評価及び不動産鑑定士の責務に関する次のイからホまでの記述のうち、誤っているものをすべて掲げた組合せはどれか。\nイ　不動産の鑑定評価とは、この社会における一連の価格秩序のなかで、対象不動産の価格の占める適正なあり所を指摘することであり、具体的には、不動産の価格を貨幣額で表示することである。\nロ　不動産の鑑定評価では、練達堪能な専門家によって鑑定評価の一連の手順が十分に尽くされる限り、最終的な結論としての鑑定評価額について、不動産鑑定士による差は生じないとされている。\nハ　不動産鑑定士は、正当な理由なく、職務上取り扱ったことについて知り得た秘密を他に漏らしてはならないが、鑑定評価を行った事実は秘密に当たらないため、対象不動産の名称を鑑定評価実績として所属する業者の広告に掲載することができる。\nニ　不動産の鑑定評価に当たっては、専門職業家としての注意を払わなければならず、他の専門家が行った調査結果等の活用の適否についても、鑑定評価を行う不動産鑑定士が主体的に責任を持って判断する必要がある。\nホ　自己の能力の限度を超えていると思われる不動産の鑑定評価依頼は引き受けてはならない。","イとニ","イとホ","ロとハ","ロとホ","ハとニ",3,,,,,,3,2025-11-08T00:00:00Z
r04-043,2022,令和,4,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の類型,3,"下記のⅠからⅢまでの設例について、不動産の類型に関する⑴から⑸までの記述のうち、誤っているものはどれか。\nⅠ　Ａは、土地の所有者であるＢとの間で借地借家法に基づく借地権設定契約を締結の上、戸建住宅を建設し、当該住宅をＣに賃貸した。\nⅡ　数年後、売買によりＡはＢから当該土地の所有権を取得した。\nⅢ　さらに数年後、ＡはＣとの建物賃貸借契約を終了し、自ら居住を開始した。","「借地権付建物（建物は貸家）」は、Ⅰの時点の現実の利用状態を所与とした建物及びその敷地の類型である。","「借地権」は、Ⅰの時点の現実の利用状態を所与とした宅地の類型である。","「底地」は、Ⅰの時点の現実の利用状態を所与とした宅地の類型である。","「建付地」は、Ⅱの時点の現実の利用状態を所与とした宅地の類型である。","「貸家及びその敷地」は、Ⅲの時点の現実の利用状態を所与とした建物及びその敷地の類型である。",5,,,,,,3,2025-11-08T00:00:00Z
r04-044,2022,令和,4,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の種別及び類型,4,"一棟の賃貸用マンションを対象不動産とする場合、価格を求める鑑定評価について、次のイからホまでの記述のうち、正しいものをすべて掲げた組合せはどれか。\nイ　対象不動産に係る土地の種別が、住宅地とならないこともある。\nロ　対象不動産に係る類型が、貸家及びその敷地とならないこともある。\nハ　対象不動産の積算価格を求める過程において、取引事例比較法を適用することもある。\nニ　対象不動産の比準価格を求めることができないこともある。\nホ　対象不動産の収益価格は、実際実質賃料ではなく、実際支払賃料に基づいて決定される。","イとロ","イとハとニ","イとロとハとニ","イとハとニとホ","ロとハとニとホ",3,,,,,,4,2025-11-08T00:00:00Z
r04-045,2022,令和,4,不動産鑑定士 短答,不動産の鑑定評価に関する理論,価格形成要因,5,"次の記述は、不動産の価格を形成する要因として、不動産鑑定評価基準総論第 ３ 章に記載された事項の一部である。次のイからニまでの空欄に入る語句として正しいものの組合せはどれか。\n　・「生活様式等の状態」は、一般的要因のうち（ イ ）として例示されている。\n　・「不動産の取引に関する規制の状態」は、一般的要因のうち（ ロ ）として例示されている。\n　・農地地域、林地地域に共通する地域要因として、日照、温度、湿度、（ ハ ）等の気象の状態が例示されている。\n　・商業地域、工業地域、農地地域、林地地域に共通する地域要因として、（ ニ ）が例示されている。","イ 社会的要因　ロ 経済的要因　ハ 風向　ニ 公法上及び私法上の規制、制約等","イ 経済的要因　ロ 行政的要因　ハ 風向　ニ 公法上及び私法上の規制、制約等","イ 社会的要因　ロ 経済的要因　ハ 風雨　ニ 公法上及び私法上の規制、制約等","イ 経済的要因　ロ 社会的要因　ハ 風向　ニ 行政上の助成及び規制の程度","イ 社会的要因　ロ 行政的要因　ハ 風雨　ニ 行政上の助成及び規制の程度",3,,,,,,5,2025-11-08T00:00:00Z
r04-046,2022,令和,4,不動産鑑定士 短答,不動産の鑑定評価に関する理論,地域要因,6,"地域要因に関する次の記述のうち、誤っているものはどれか。","地域要因とは、一般的要因の相関結合によって規模、構成の内容、機能等にわたる各地域の特性を形成し、その地域に属する不動産の価格形成に全般的な影響を与える要因をいい、不動産の鑑定評価上、その地域は用途的観点から分類されることが最も適切である。","地域要因について想定上の条件を設定することが妥当と認められる場合は、計画及び諸規則の変更、改廃に権能を持つ公的機関の設定する事項に主として限られる。","住宅地域の地域要因のうち、情報通信基盤の整備の状態は、特に生活利便性に大きな影響を与えつつある要因のひとつである。","商業地域には商業地域特有の地域要因があり、日照、温度、湿度、風向等の気象の状態は商業地域の地域要因ではない。","ある種別の地域から他の種別への地域へと転換し、又は移行しつつある地域内の土地については、特に周辺地域の地域要因の変化の推移、動向がそれらの土地の変化の動向予測にあたって有効な資料になる。",4,,,,,,5,2025-11-08T00:00:00Z
r04-047,2022,令和,4,不動産鑑定士 短答,不動産の鑑定評価に関する理論,個別的要因,7,"建物に関する個別的要因について、次の記述のうち誤っているものはどれか。","建物の個別的要因として「建物の性能」があるが、鉄骨鉄筋コンクリート造の堅固建物であっても、現行の建築基準法に基づくいわゆる新耐震基準を満たしているとは言えないこともある。","建物の個別的要因として「維持管理の状態」があるが、維持管理の状態の良否は、現在の建物の減価の度合いに影響を与えるが、将来見込まれる修繕費用には影響を与えない。","住宅において特に留意すべき個別的要因としては、屋根、外壁、基礎、床、内装、間取り、台所・浴室・便所等の給排水設備・衛生設備の状況等がある。","事務所ビルにおいて留意すべき個別的要因としては、基準階床面積、天井高、床荷重、情報通信対応設備の状況等がある。","大規模で機能性が高い物流施設の場合は、物流施設において留意する個別的要因のほか、梱包、仕分け、流通加工、配送等の機能に応じた設備や、各階への乗入を可能とする自走式車路の有無等に留意が必要である。",2,,,,,,5,2025-11-08T00:00:00Z
r04-048,2022,令和,4,不動産鑑定士 短答,不動産の鑑定評価に関する理論,不動産の価格に関する諸原則,8,"不動産の価格に関する諸原則に関する次のイからホまでの記述のうち、正しいものをすべて掲げた組合せはどれか。\nイ　不動産鑑定評価基準総論第 ７ 章では、割引率の求め方として「金融資産の利回りに不動産の個別性を加味して求める方法」が例示されているが、これは、代替の原則の活用例である。\nロ　代替の原則は、不動産の価格に関する諸原則の １ つであるが、不動産の賃料を求める鑑定評価の手法においても活用が求められる。\nハ　均衡の原則は、不動産はその属する地域の特性と均衡することにより、最有効使用の状態を実現できるとする原則である。\nニ　最有効使用の原則は、鑑定評価の三方式（原価方式、比較方式、収益方式）のそれぞれと関連している。\nホ　予測の原則により、不動産の価格は、価格形成要因の変動についての市場参加者による予測によって左右されるので、不動産の鑑定評価では、不動産鑑定士が市場参加者の観点から予測を行うが、予測にあたり過去の推移の分析は不要である。","イとハ","ロとニ","ハとホ","イとロとニ","ハとニとホ",4,,,,,,6,2025-11-08T00:00:00Z
r04-049,2022,令和,4,不動産鑑定士 短答,不動産の鑑定評価に関する理論,土壌汚染・有害物質,9,"土壌汚染又は有害な物質に関する鑑定評価における次のイからホまでの記述のうち、正しいものをすべて掲げた組合せはどれか。\nイ　土壌汚染が存することが判明している土地の鑑定評価において、土壌汚染が除去されたものとする条件を設定する場合、調査範囲等条件の設定の可否を検討することとなり、想定上の条件を用いることはできない。\nロ　ポリ塩化ビフェニル（ＰＣＢ）については、その使用状況のみならず保管状況に特に留意する必要がある。\nハ　土壌汚染の除去等に要する費用の発生が価格形成に影響を与えることがある一方で、土壌汚染が認められても土地利用自体が制約を受けることはなく、土地利用制限が価格形成に影響を与えることはない。\nニ　会社法上の現物出資の目的となる土地の鑑定評価において、当該土地に土壌汚染が存する場合、原則として、当該土地に土壌汚染が存しないものとする調査範囲等条件の設定をしてはならない。\nホ　建築資材にアスベストの使用がある場合の建物の鑑定評価においては、その飛散防止等の措置の実施状況に特に留意する必要がある。","イとロとニ","イとハとホ","ロとハとホ","ロとニとホ","ハとニとホ",4,,,,,,7,2025-11-08T00:00:00Z
r04-050,2022,令和,4,不動産鑑定士 短答,不動産の鑑定評価に関する理論,価格時点,10,"価格時点に関する次の記述のうち、正しいものはどれか。","不動産の鑑定評価に当たっては、価格時点を定めずに不動産の鑑定評価を行うことがある。","過去時点の鑑定評価は、対象不動産の確認等が可能であれば、鑑定評価に必要な要因資料及び事例資料の収集が不可能な場合であってもできることがある。","価格時点を将来時点とする鑑定評価は、対象不動産の確定、価格形成要因の把握・分析など、すべて想定又は予測することとなり、不確実にならざるを得ないので認められていない。","価格時点を現在時点として設定した場合においても、継続賃料を求める鑑定評価の場合には、過去時点における対象不動産の価格を求める場合がある。","土地と建物からなる複合不動産の鑑定評価においては、土地と建物のそれぞれについて価格時点を定める必要がある。",4,,,,,,7,2025-11-08T00:00:00Z
